City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,9.34,87,67,2.68,NZ,1718167230
1,singkil,-7.9855,111.4161,32.31,55,7,1.7,ID,1718167230
2,aasiaat,68.7098,-52.8699,1.29,96,100,3.26,GL,1718167230
3,northam,51.0333,-4.2167,8.12,85,52,0.93,GB,1718167230
4,ust-nera,64.5667,143.2,18.14,29,87,1.54,RU,1718167230
5,margaret river,-33.95,115.0667,15.84,73,34,3.7,AU,1718167230
6,murashi,59.3999,48.9615,22.95,77,87,5.25,RU,1718167230
7,keflavik,64.0049,-22.5624,10.24,93,100,8.75,IS,1718167230
8,bahia de kino,28.8333,-111.9333,31.05,31,0,6.33,MX,1718167230
9,grytviken,-54.2811,-36.5092,-6.37,77,23,4.29,GS,1718167019
10,vilyuchinsk,52.9306,158.4028,11.15,93,100,1.38,RU,1718167230
11,iqaluit,63.7506,-68.5145,-0.15,80,20,5.14,CA,1718167230
12,atafu village,-8.5421,-172.5159,29.13,70,86,1.62,TK,1718167230
13,eyl,7.9803,49.8164,29.19,52,98,11.68,SO,1718167059
14,yellowknife,62.456,-114.3525,13.29,78,75,3.09,CA,1718167231
15,itupiranga,-5.1347,-49.3267,24.18,71,92,1.19,BR,1718167231
16,tiksi,71.6872,128.8694,3.73,75,41,2.08,RU,1718167231
17,ribeira grande,38.5167,-28.7,17.1,84,58,4.02,PT,1718167231
18,tulum,20.2167,-87.4667,27.4,92,68,2.83,MX,1718167146
19,ta`u,-14.2336,-169.5144,27.34,82,99,7.81,AS,1718167231
20,gadzhiyevo,69.2551,33.3362,5.92,91,99,4.9,RU,1718167231
21,hilo,19.7297,-155.09,26.27,82,40,2.57,US,1718167169
22,bel air riviere seche,-20.2542,57.7453,24.82,77,99,7.07,MU,1718167231
23,puerto natales,-51.7236,-72.4875,-0.69,93,31,1.25,CL,1718167231
24,cabo san lucas,22.8909,-109.9124,27.61,51,10,0.45,MX,1718167231
25,haenam,34.5711,126.5989,26.38,60,63,2.22,KR,1718167092
26,adamstown,-25.066,-130.1015,21.76,83,90,6.5,PN,1718167231
27,vilyuysk,63.7553,121.6247,19.44,37,100,2.68,RU,1718167231
28,karasburg,-28.0167,18.75,9.07,78,85,1.37,NA,1718167231
29,sabha,27.0377,14.4283,31.03,11,0,4.97,LY,1718167231
30,stanley,54.868,-1.6985,7.93,94,20,2.06,GB,1718167231
31,puerto lempira,15.2667,-83.7667,27.33,87,63,3.54,HN,1718167231
32,salinopolis,-0.6136,-47.3561,26.02,86,70,4.3,BR,1718167231
33,eastham,41.8301,-69.9739,14.99,93,23,2.79,US,1718167231
34,enewetak,11.3474,162.3373,28.22,80,39,8.04,MH,1718167231
35,santa cruz,-17.8,-63.1667,23.7,88,40,3.09,BO,1718167149
36,invercargill,-46.4,168.35,5.57,80,100,0.89,NZ,1718167231
37,albany,42.6001,-73.9662,15.23,83,79,2.68,US,1718167231
38,urumqi,43.801,87.6005,27.53,30,0,5.0,CN,1718167231
39,puerto ayora,-0.7393,-90.3518,20.86,98,36,2.92,EC,1718167103
40,hamilton,39.1834,-84.5333,17.21,74,0,0.89,US,1718167159
41,okhotsk,59.3833,143.3,9.44,76,13,3.71,RU,1718167231
42,port-aux-francais,-49.35,70.2167,1.78,67,95,17.45,TF,1718167232
43,fale old settlement,-9.3852,-171.2468,29.17,73,67,2.85,TK,1718167232
44,punta arenas,-53.15,-70.9167,1.06,93,20,5.14,CL,1718166935
45,rio grande,-32.035,-52.0986,17.75,96,90,6.01,BR,1718167221
46,uturoa,-16.7333,-151.4333,25.72,71,100,9.12,PF,1718167232
47,mount carmel,38.4109,-87.7614,16.97,63,84,1.85,US,1718167232
48,veraval,20.9,70.3667,31.66,62,73,5.36,IN,1718167211
49,fomboni,-12.28,43.7425,26.63,64,42,6.84,KM,1718167232
50,arraial do cabo,-22.9661,-42.0278,22.15,79,0,3.03,BR,1718167050
51,tangalle,6.024,80.7911,30.09,82,96,7.43,LK,1718167232
52,al jawf,29.5,38.75,26.9,29,0,5.0,SA,1718167232
53,fuling,29.7022,107.3919,29.41,60,51,1.78,CN,1718167232
54,pokhara,28.2333,83.9833,33.2,29,0,3.27,NP,1718167141
55,port elizabeth,-33.918,25.5701,16.72,85,0,7.72,ZA,1718167111
56,sumbawa besar,-8.5,117.4333,33.84,43,91,3.58,ID,1718167142
57,yakeshi,49.2833,120.7333,23.66,33,97,4.81,CN,1718167232
58,kismayo,-0.3582,42.5454,26.82,75,71,7.46,SO,1718167232
59,al hazm,16.1641,44.7769,31.1,14,14,0.69,YE,1718167232
60,avarua,-21.2078,-159.775,23.03,64,75,4.12,CK,1718167232
